uri|display_name
"http://vivo.ufl.edu/individual/n801071843"|"Lamay,Cheryl A"
"http://vivo.ufl.edu/individual/n86566483"|"Altan,Aysun"
"http://vivo.ufl.edu/individual/n1175811729"|"Kemper,Alexander F"
"http://vivo.ufl.edu/individual/n2146221494"|"Kim,Kenneth E"
"http://vivo.ufl.edu/individual/n2130807559"|"Besoner,Jacquelyn S"
"http://vivo.ufl.edu/individual/n1107050814"|"Liao,Chenda"
"http://vivo.ufl.edu/individual/n461228160"|"Hodges,Lacy F"
"http://vivo.ufl.edu/individual/n1830841291"|"Robinson,Scott D"
"http://vivo.ufl.edu/individual/n1907499326"|"Mcclure,Erin Ann"
"http://vivo.ufl.edu/individual/n907658471"|"Marin,Justin Michael"
"http://vivo.ufl.edu/individual/n1657152159"|"Streeter,Stacy Candac"
"http://vivo.ufl.edu/individual/n676462266"|"Slansky,Frank,Jr"
"http://vivo.ufl.edu/individual/n938826402"|"Simpson,Stephen T"
"http://vivo.ufl.edu/individual/n345736975"|"See,Edward C"
"http://vivo.ufl.edu/individual/n1077810656"|"Cortes,Enric"
"http://vivo.ufl.edu/individual/n415810981"|"Zhang,Lianhao"
"http://vivo.ufl.edu/individual/n2065791069"|"Pascual Cabo,Diego"
"http://vivo.ufl.edu/individual/n1975503993"|"Chung,Steve S"
"http://vivo.ufl.edu/individual/n980780800"|"Chen,Shuang"
"http://vivo.ufl.edu/individual/n1504320472"|"Stella,Brittany A"
"http://vivo.ufl.edu/individual/n426027346"|"Anubi,Olugbenga M"
"http://vivo.ufl.edu/individual/n853147475"|"Larrick,Stephanie K"
"http://vivo.ufl.edu/individual/n12069327"|"Zombek,Angela M"
"http://vivo.ufl.edu/individual/n1557466603"|"Garrity,Patrick T"
"http://vivo.ufl.edu/individual/n1924288634"|"Goldman,Alex Brian"
"http://vivo.ufl.edu/individual/n16592631"|"Udell,Chester J,III"
"http://vivo.ufl.edu/individual/n14125"|"Zhou,Lan"
"http://vivo.ufl.edu/individual/n1343931794"|"Odio,Michael Alexande"
"http://vivo.ufl.edu/individual/n1640661486"|"Komurlu,Sevnur"
"http://vivo.ufl.edu/individual/n1098465718"|"Gage,Christopher D"
"http://vivo.ufl.edu/individual/n443110706"|"Kelley,Jonathan J"
"http://vivo.ufl.edu/individual/n2106165048"|"Townsend,Amanda J"
"http://vivo.ufl.edu/individual/n1436384306"|"Desmarais,Annette Aur"
"http://vivo.ufl.edu/individual/n211444177"|"Gonzalez-Tennant,Dian"
"http://vivo.ufl.edu/individual/n13881"|"Saksena,Nitin"
"http://vivo.ufl.edu/individual/n1270702380"|"Bromberg,Lisa"
"http://vivo.ufl.edu/individual/n348274586"|"Darby,Christopher Liu"
"http://vivo.ufl.edu/individual/n1676527180"|"Hopkins,Joshua V"
"http://vivo.ufl.edu/individual/n660422485"|"Rubino,Steven Charles"
"http://vivo.ufl.edu/individual/n23384952"|"Zink,Emory M"
"http://vivo.ufl.edu/individual/n1040632423"|"Luke,Trevor S"
"http://vivo.ufl.edu/individual/n377538977"|"Li,Zhuo"
"http://vivo.ufl.edu/individual/n73671306"|"Bhatia,Akash"
"http://vivo.ufl.edu/individual/n148192715"|"Hahn,Jennifer L"
"http://vivo.ufl.edu/individual/n1353110704"|"Beirl,Brian R"
"http://vivo.ufl.edu/individual/n457422381"|"Johnson,Teniece"
"http://vivo.ufl.edu/individual/n941521745"|"Petrus,Cass A"
"http://vivo.ufl.edu/individual/n1665182324"|"Lieberman,Leslie S"
"http://vivo.ufl.edu/individual/n538128182"|"Werner,Hubert"
"http://vivo.ufl.edu/individual/n728594281"|"Sultan,Hussain Bin"
"http://vivo.ufl.edu/individual/n891922254"|"Han,Xu"
"http://vivo.ufl.edu/individual/n676502537"|"Burger,Corinna"
"http://vivo.ufl.edu/individual/n1897036077"|"Carroll,Jonathan E"
"http://vivo.ufl.edu/individual/n1046828707"|"Klodd,David A"
"http://vivo.ufl.edu/individual/n135960339"|"Jaroch,Adrienne M"
"http://vivo.ufl.edu/individual/n1474231530"|"Grand,Caroline"
"http://vivo.ufl.edu/individual/n1787346699"|"Yoon,Bo-Mi"
"http://vivo.ufl.edu/individual/n1882096854"|"Harrison,Stephanie Ly"
"http://vivo.ufl.edu/individual/n2102264995"|"Grunzke,Andrew"
"http://vivo.ufl.edu/individual/n609251456"|"Salari,Ehsan"
"http://vivo.ufl.edu/individual/n369913844"|"Mclaughlin,Timothy M"
"http://vivo.ufl.edu/individual/n209049758"|"Iffert,Alexis Marie"
"http://vivo.ufl.edu/individual/n579460945"|"Sareshwala,Kamrunissa"
"http://vivo.ufl.edu/individual/n1540306365"|"Hansen,Jennifer A"
